Date,EOD/V - Open,EOD/V - Close
2011-07-19,88.49,89.21
2011-07-20,89.49,88.64
2011-07-21,89.05,88.05
2011-07-22,88.1,89.52
2011-07-25,88.64,89.08
2011-07-26,89.02,89.2
2011-07-27,88.32,87.75
2011-07-28,88.13,86.92
2011-07-29,85.84,85.54
2011-08-01,87.0,85.68
2011-08-02,85.0,83.56
2011-08-03,84.53,87.48
2011-08-04,86.77,84.99
2011-08-05,85.34,83.41
2011-08-08,80.18,79.24
2011-08-09,80.35,82.76
2011-08-10,81.285,79.28
2011-08-11,80.15,84.52
2011-08-12,85.11,83.83
2011-08-15,85.11,85.87
2011-08-16,85.0,85.83
2011-08-17,85.97,83.99
2011-08-18,81.51,80.29
2011-08-19,79.33,79.6
2011-08-22,81.23,79.79
2011-08-23,80.22,83.77
2011-08-24,83.6,86.38
2011-08-25,86.47,84.11
2011-08-26,83.51,85.85
2011-08-29,86.98,86.58
2011-08-30,86.62,87.93
2011-08-31,88.5,87.88
2011-09-01,87.72,87.73
2011-09-02,85.72,85.55
2011-09-06,83.25,85.86
2011-09-07,86.82,88.48
2011-09-08,87.76,87.46
2011-09-09,86.88,86.35
2011-09-12,85.95,87.45
2011-09-13,87.66,87.77
2011-09-14,88.23,89.58
2011-09-15,90.01,90.5
2011-09-16,90.62,90.85
2011-09-19,89.47,90.03
2011-09-20,90.4,92.84
2011-09-21,92.64,91.42
2011-09-22,88.74,88.3
2011-09-23,87.96,90.08
2011-09-26,90.99,90.28
2011-09-27,91.13,89.48
2011-09-28,89.8,87.63
2011-09-29,88.97,87.69
2011-09-30,86.22,85.72
2011-10-03,84.97,84.26
2011-10-04,83.04,84.78
2011-10-05,84.6,84.99
2011-10-06,84.88,87.13
2011-10-07,87.43,86.25
2011-10-10,87.79,89.25
2011-10-11,88.71,90.51
2011-10-12,90.98,91.17
2011-10-13,90.5,92.6
2011-10-14,93.42,93.92
2011-10-17,93.13,91.19
2011-10-18,91.11,93.91
2011-10-19,94.21,90.08
2011-10-20,90.8,91.35
2011-10-21,92.4937,93.43
2011-10-24,93.29,94.21
2011-10-25,93.5,90.68
2011-10-26,92.14,92.02
2011-10-27,91.0,94.4
2011-10-28,93.25,95.1
2011-10-31,94.28,93.26
2011-11-01,91.16,90.03
2011-11-02,93.04,91.5
2011-11-03,92.06,93.18
